property_id,city,district,property_type,built_up_area_sqft,price_inr,price_per_sqft_inr,bedrooms,bathrooms,age_years,facing,amenities,amenities_count,walkability_score,monthly_rental_estimate_inr,annual_rental_yield_pct,price_category,estimated_roi_5yr_pct,listing_date,days_on_market,status,registration_days,is_gated_community,has_maintenance_fee,monthly_maintenance_inr
PROP00001,Chennai,Anna Nagar,Apartment,1526,10000000,6553,2,1,4,West,Pool; AC; Elevator; Security; Garden; Gym; Library; Playground,8,9,35033,4.2,Premium,46.02,2024-10-17,215,Available,169,True,False,0
PROP00002,Mumbai,Bandra,Studio,424,50000000,117924,1,1,6,South-East,Pool; Elevator; Library; Gym; Parking,5,7,192260,4.61,Luxury,48.07,2025-01-29,283,Available,50,False,False,100000
PROP00003,Chennai,Anna Nagar,Apartment,1333,10000000,7501,3,1,27,South-East,Pool; Library; Security; Garden,4,9,30921,3.71,Premium,43.55,2024-06-27,312,Available,48,True,True,20000
PROP00004,Pune,Viman Nagar,Independent House,4121,15000000,3639,3,2,26,South-West,Garden; Gym; Playground,3,6,42774,3.42,Premium,42.11,2024-10-11,336,Rented,84,False,False,0
PROP00005,Bangalore,Indiranagar,Villa,4020,30000000,7462,5,3,28,North,Library; Playground; Garden; Pool; Security; Concierge; Gym,7,7,82642,3.31,Luxury,41.53,2025-12-02,198,Sold,46,False,False,0
PROP00006,Hyderabad,Jubilee Hills,Apartment,2599,12000000,4617,3,2,3,North-East,Library; Parking; Concierge; Gym; Playground,5,10,45239,4.52,Premium,47.62,2024-12-11,328,Rented,106,True,True,0
PROP00007,Bangalore,Marathahalli,Penthouse,3004,30000000,9986,6,4,15,West,Pool; Playground; Security,3,7,118900,4.76,Luxury,48.78,2026-02-23,273,Available,47,True,True,0
PROP00008,Hyderabad,Madhapur,Independent House,3661,12000000,3277,5,2,29,North-West,Garden; Security; Library; Playground; Concierge; Parking; Elevator,7,8,34493,3.45,Premium,42.25,2025-06-02,302,Available,88,True,True,24000
PROP00009,Chennai,T Nagar,Apartment,1337,10000000,7479,1,1,27,North-West,Pool; AC; Garden; Parking; Playground,5,5,27205,3.26,Premium,41.32,2024-10-07,209,Available,151,True,True,20000
PROP00010,Chennai,Thiruvanmiyur,Independent House,3234,10000000,3092,5,3,27,West,Gym; Pool; Elevator; Garden; Playground; Parking; Concierge; Library,8,7,32476,3.9,Premium,44.49,2025-03-08,39,Available,93,False,True,20000
PROP00011,Chennai,Kilpauk,Apartment,782,10000000,12787,2,1,13,North,Concierge; Garden; Library; Gym; Pool; AC,6,9,29420,3.53,Premium,42.65,2025-02-03,339,Available,172,False,True,20000
PROP00012,Delhi,Gurgaon,Apartment,2772,40000000,14430,1,2,1,North,Elevator; Concierge; Parking,3,4,105340,3.16,Luxury,40.8,2025-11-05,207,Available,90,True,True,80000
PROP00013,Hyderabad,Jubilee Hills,Studio,586,12000000,20477,1,2,6,South,Playground; Garden; Security; AC; Pool; Parking; Library; Elevator,8,4,42423,4.24,Premium,46.21,2024-10-15,110,Rented,167,False,True,0
PROP00014,Mumbai,Bandra,Independent House,2667,50000000,18747,3,2,26,East,Security; AC; Gym; Playground; Elevator; Parking; Concierge,7,6,199142,4.78,Luxury,48.9,2024-10-25,176,Available,83,True,False,0
PROP00015,Delhi,South Delhi,Apartment,2998,40000000,13342,4,3,1,East,Playground; Parking; Security,3,4,136778,4.1,Luxury,45.52,2025-03-03,354,Available,49,True,True,0
PROP00016,Hyderabad,Kondapur,Villa,5520,12000000,2173,4,2,9,South,Gym; Playground; Garden; AC; Pool,5,9,41197,4.12,Premium,45.6,2025-03-24,122,Rented,69,True,True,0
PROP00017,Mumbai,Bandra,Independent House,4704,50000000,10629,5,2,8,North-West,Pool; Library; Gym; AC,4,10,193048,4.63,Luxury,48.17,2025-01-28,115,Available,88,True,True,0
PROP00018,Delhi,Noida,Apartment,1543,40000000,25923,3,2,21,North,Playground; Gym; Pool; Parking; Concierge; Security; Library,7,8,128970,3.87,Luxury,44.35,2025-06-27,198,Available,59,True,False,80000
PROP00019,Chennai,Thiruvanmiyur,Apartment,2529,10000000,3954,2,2,13,North-East,Playground; Elevator; Pool,3,6,36114,4.33,Premium,46.67,2025-06-14,66,Available,171,True,False,0
PROP00020,Chennai,T Nagar,Villa,7042,10000000,1420,5,3,17,South-West,Security; Elevator; Garden,3,7,35111,4.21,Premium,46.07,2025-06-19,262,Available,84,False,True,20000
PROP00021,Delhi,Rohini,Penthouse,5745,40000000,6962,4,2,21,West,Garden; Elevator; Parking; Gym; Library,5,9,140751,4.22,Luxury,46.11,2026-03-01,100,Available,177,False,False,0
PROP00022,Bangalore,Koramangala,Apartment,836,30000000,35885,4,2,5,North-West,AC; Concierge; Gym; Security; Pool; Elevator; Garden; Library,8,10,124394,4.98,Luxury,49.88,2024-09-12,314,Available,143,False,False,60000
PROP00023,Chennai,Thiruvanmiyur,Studio,382,10000000,26178,0,2,24,North-East,Concierge; Garden; Security; AC; Gym; Parking; Pool,7,5,39883,4.79,Premium,48.93,2026-02-21,356,Available,128,True,True,20000
PROP00024,Pune,Viman Nagar,Independent House,3722,15000000,4030,5,3,1,South-West,Library; Elevator; Gym; AC,4,10,61068,4.89,Premium,49.43,2025-07-13,276,Sold,137,True,False,30000
PROP00025,Delhi,Dwarka,Studio,264,26959771,102120,1,2,21,North,Library; Parking; Concierge; Pool; Security; Playground; Gym; Elevator,8,6,86658,3.86,Luxury,44.29,2025-01-27,168,Available,127,True,False,0
PROP00026,Delhi,Dwarka,Independent House,4580,40000000,8733,5,3,26,South-East,Concierge; Gym; AC,3,4,104574,3.14,Luxury,40.69,2024-07-16,103,Available,93,True,True,80000
PROP00027,Bangalore,Jayanagar,Apartment,2710,30000000,11070,2,2,22,North-East,Playground; Parking; Pool; Library; Concierge,5,7,76283,3.05,Luxury,40.26,2025-06-29,102,Available,131,True,True,60000
PROP00028,Chennai,Besant Nagar,Penthouse,9598,10000000,1041,4,2,11,South-West,Library; Playground; Pool; Security; AC; Parking; Gym,7,10,26758,3.21,Premium,41.05,2025-05-09,363,Sold,147,True,False,20000
PROP00029,Chennai,Kilpauk,Independent House,4022,10000000,2486,5,3,13,West,Elevator; Security; Playground; Library; Pool; Gym; Parking; Concierge,8,4,34497,4.14,Premium,45.7,2024-06-29,167,Available,156,True,False,20000
PROP00030,Delhi,Noida,Independent House,2645,40000000,15122,4,2,16,West,Pool; Garden; Library; AC,4,4,143060,4.29,Luxury,46.46,2024-12-28,151,Available,53,True,False,80000
PROP00031,Delhi,Pitampura,Penthouse,6023,40000000,6641,5,3,13,West,AC; Playground; Elevator; Concierge; Garden; Parking; Security; Pool,8,10,112838,3.39,Luxury,41.93,2026-01-12,99,Sold,77,True,False,0
PROP00032,Chennai,Kilpauk,Penthouse,7888,10000000,1267,5,2,26,North-East,Security; Garden; Playground; Pool,4,4,33902,4.07,Premium,45.34,2025-08-07,150,Available,171,True,False,20000
PROP00033,Mumbai,Borivali,Independent House,3422,50000000,14611,5,3,10,South,Gym; Security; Concierge; Elevator,4,5,131173,3.15,Luxury,40.74,2024-08-08,289,Sold,68,False,True,100000
PROP00034,Mumbai,Borivali,Studio,560,50000000,89285,0,2,14,South,Security; Library; Elevator; Concierge; AC; Gym,6,4,142315,3.42,Luxury,42.08,2025-10-10,123,Available,70,True,True,100000
PROP00035,Mumbai,Dadar,Studio,554,50000000,90252,1,2,1,West,Security; Elevator; Concierge; Gym,4,10,190652,4.58,Luxury,47.88,2024-08-12,218,Available,80,True,True,100000
PROP00036,Delhi,Gurgaon,Apartment,644,40000000,62111,2,2,19,North-West,Elevator; Security; Concierge; Gym; Garden; Parking; Playground; Pool,8,8,139869,4.2,Luxury,45.98,2025-02-26,14,Sold,94,True,True,80000
PROP00037,Chennai,Besant Nagar,Penthouse,3329,10000000,3003,4,3,16,South-East,Concierge; Security; Parking; AC; Garden; Playground; Gym; Pool,8,6,30350,3.64,Premium,43.21,2026-01-27,356,Rented,135,False,False,0
PROP00038,Hyderabad,Jubilee Hills,Studio,295,12000000,40677,1,2,10,North-West,Library; AC; Gym,3,7,33751,3.38,Premium,41.88,2025-05-09,27,Sold,143,True,False,24000
PROP00039,Delhi,Dwarka,Studio,312,26019572,83396,0,1,22,South-West,Security; AC; Gym; Elevator,4,4,108079,4.98,Luxury,49.92,2026-01-18,256,Available,69,False,False,0
PROP00040,Pune,Viman Nagar,Villa,5741,15000000,2612,4,3,6,North,AC; Parking; Pool; Elevator; Garden; Library; Security,7,9,44963,3.6,Premium,42.99,2024-09-20,77,Available,155,False,False,0
PROP00041,Delhi,Rohini,Penthouse,6090,40000000,6568,5,3,27,South-West,Garden; Library; Elevator; AC,4,7,149647,4.49,Luxury,47.45,2024-05-22,340,Rented,128,True,False,80000
PROP00042,Bangalore,Marathahalli,Penthouse,5719,30000000,5245,4,3,3,North-West,Concierge; Gym; Parking; Garden; Playground; Pool; AC,7,9,88251,3.53,Luxury,42.65,2024-08-14,169,Sold,50,False,False,0
